Rent,Neighborhood,Title,Posting Date,URL,Bed/Bath,Size
1600,Somerville \ Porter Sq. \ Inman Sq.,-- Awesome 2 Room Studio -- 1 Parking Spot Included -- PIX,Wed 08 Apr 01:29:06 PM,https://boston.craigslist.org/gbs/apa/d/somerville-awesome-2-room-studio-1/7105314448.html,0BR / 1Ba,N/A
1950,CAMBRIDGE,Cozy garden level 1BR condo across from Harvard Law.,Wed 08 Apr 01:24:38 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-cozy-garden-level-1br-condo/7105311646.html,1BR / 1Ba,N/A
2100,N/A,"** FREE RENT ** W/D, Heat, HW & Trash INCL !!",Wed 08 Apr 01:17:01 PM,https://boston.craigslist.org/nwb/apa/d/andover-free-rent-d-heat-hw-trash-incl/7105306518.html,2BR / 2Ba,1098ft2
1895,Beacon Hill,Beacon Hill Spacious Pet Friendly Joy Street Studio - mb,Wed 08 Apr 01:15:03 PM,https://boston.craigslist.org/gbs/apa/d/boston-beacon-hill-spacious-pet/7105305198.html,0BR / 1Ba,N/A
3650,Brighton,Beautiful 3 bedroom/1.5 bath unit on the second floor,Wed 08 Apr 01:07:06 PM,https://boston.craigslist.org/gbs/apa/d/brighton-beautiful-3-bedroom-15-bath/7105300030.html,3BR / 1.5Ba,1200ft2
2150,Brookline- Beacon Street by Coolidge Corner,▶NEW Beacon St. 1 bed condo w/ roof deck & laundry- May 1st,Wed 08 Apr 12:59:45 PM,https://boston.craigslist.org/gbs/apa/d/brookline-new-beacon-st-1-bed-condo/7105295175.html,1BR / 1Ba,N/A
3300,Beacon Hill,►NEW Beacon Hill 2 bed condo at The River House! Avail May 1st,Wed 08 Apr 12:58:51 PM,https://boston.craigslist.org/gbs/apa/d/boston-new-beacon-hill-2-bed-condo-at/7105294588.html,2BR / 1Ba,N/A
2350,South Bay/Newmarket,Newmarket Square/South Bay----TWO BED newly renovated,Wed 08 Apr 12:57:24 PM,https://boston.craigslist.org/gbs/apa/d/roxbury-newmarket-square-south-bay-two/7105293584.html,2BR / 1Ba,1000ft2
2150,Dorchester,"Renovated Dorchester 2 bed 1.5 bath with laundry in unit, 6 min to T!",Wed 08 Apr 12:45:43 PM,https://boston.craigslist.org/gbs/apa/d/dorchester-renovated-dorchester-2-bed/7105285854.html,2BR / 1.5Ba,875ft2
1545,"Andover, MA",Spring Time Specials! 1-Bed/1-Bath Apartment Andover Place,Wed 08 Apr 12:44:39 PM,https://boston.craigslist.org/nwb/apa/d/lawrence-spring-time-specials-1-bed-1/7105285174.html,1BR / 1Ba,696ft2
